Size ,DDT,Temp_b ,Group ,Season 
15.6,1.5823,25,A,W
11.7,1.3966,25,A,W
14,1.0341,25,A,W
13,1.1439,26,A,W
12.5,1.377,26,A,W
12.3,1.4083,26,A,W
11.8,1.5906,28,A,W
16.6,2.0193,29,A,W
12.9,3.1646,29,A,W
19.2,9.0594,30,A,W
14.5,3.507,30,A,W
12.3,3.156,30,A,W
14.5,4.2064,32,A,W
12.1,5.1769,32,A,W
13.5,9.2294,33,A,W
11.9,3.3201,-,A,W
13.6,0.3948,-,A,W
15,2.4228,-,A,W
14.2,1.578,-,A,W
13.2,3.3356,-,A,W
13.1,1.2634,-,A,W
12.2,0.4145,-,A,S
12.8,3.4844,-,A,S
13.3,2.1826,-,A,S
13.7,4.4456,-,A,S
13.8,2.1519,-,A,S
14,2.1558,-,A,S
14,3.1857,-,A,S
14.3,1.1929,-,A,S
14.5,2.2832,-,A,S
14.6,2.3309,-,A,S
15.3,1.0876,-,A,S
15.9,6.0281,-,A,S
19.1,2.0122,-,A,S
19.8,1.5528,-,A,S
23.2,3.5171,-,A,S
13,1.29,28,A,S
14.5,3.0376,29,A,S
12,2.5701,30,A,S
13,4.479,30,A,S
14.9,3.227,27,A,S
10.8,2.1334, ,J,W
11.2,3.2599,28,J,W
10,3.3338,29,J,W
8.4,2.5881,30,J,W
9.9,6.2752,31,J,W
10.7,4.4919,34,J,W
9.4,12.3805,34,J,W
7.8,8.0679,34,J,W
9.2,2.0116,-,J,S
9.4,1.5208,-,J,S
9.6,1.1584,-,J,S
10.4,2.0098,-,J,S
10.5,4.2706,-,J,S
11.5,5.0951,-,J,S
11.5,0.3423,-,J,S
11.7,2.1109,-,J,S
11.8,1.1075,-,J,S
11.9,2.0748,-,J,S
8.8,10.4714,-,J,W
10.5,3.2086,-,J,W
11.1,2.1516,-,J,W
11.2,2.4035,-,J,W
9.2,5.3319,-,J,W
11.8,2.11,-,J,W
8,7.4581,-,J,W
11.5,3.2372,-,J,W
11.5,3.3811,-,J,W
11.2,3.2925,-,J,W
8.5,4.004,-,J,W
11,4.1189,-,J,W
12,9.4379,-,J,W
9.8,7.1224,36,J,S
10.4,2.1808,31,J,S
6.8,3.2819,34,J,S
11.4,2.2889,30,J,S
7,2.1985,30,J,S
11.5,2.2163,29,J,S
10,2.3118,31,J,S
10.6,10.0819,37,J,S
8,7.2084,31,J,S
