Temp,SA,Total_density,Alive_count,Dead_count,Alive,Dead,Season 
40,85.61236623,1.89225,131,31,0.808641975,0.191358025,S
40,135.2853746,0.805704241,88,21,0.80733945,0.19266055,S
40,109.3043995,1.244231711,112,24,0.823529412,0.176470588,S
40,92.30083234,2.946885668,153,119,0.5625,0.4375,S
40,45.9274673,0.827391586,31,7,0.815789474,0.184210526,S
45,57.87752675,0.812059579,46,1,0.978723404,0.021276596,S
45,71.93816885,0.305818182,22,0,1,0,S
45,46.1058264,0.607298517,20,8,0.714285714,0.285714286,S
45,146.4922711,0.709935065,87,17,0.836538462,0.163461538,S
45,36.74197384,1.469708738,43,11,0.796296296,0.203703704,S
50,25.20808561,0.991745283,21,4,0.84,0.16,S
50,43.72770511,2.492698844,45,64,0.412844037,0.587155963,S
50,64.71462545,1.143481856,54,20,0.72972973,0.27027027,S
50,54.16171225,0.830845225,14,31,0.311111111,0.688888889,S
50,31.09393579,2.283403442,24,47,0.338028169,0.661971831,S
55,76.843044,1.340394584,13,90,0.126213592,0.873786408,S
55,44.32223543,0.902481556,10,30,0.25,0.75,S
55,49.19738407,2.540785498,8,117,0.064,0.936,S
55,57.84780024,0.985344296,18,39,0.315789474,0.684210526,S
55,12.99048751,1.616567506,4,17,0.19047619,0.80952381,S
60,49.70273484,0.925502392,3,43,0.065217391,0.934782609,S
60,30.79667063,0.844247104,1,25,0.038461538,0.961538462,S
60,34.72057075,1.440068493,11,39,0.22,0.78,S
60,55.67776457,1.436839295,0,80,0,1,S
60,41.76575505,3.902718861,0,163,0,1,S
40,25.47562426,4.16084014,100,6,0.943396226,0.056603774,W
40,35.16646849,1.620862215,53,4,0.929824561,0.070175439,W
40,56.6587396,1.182518363,52,15,0.776119403,0.223880597,W
40,48.24613555,0.62181146,25,5,0.833333333,0.166666667,W
45,40.16052319,2.689207994,71,37,0.657407407,0.342592593,W
45,26.93222354,1.559470199,39,3,0.928571429,0.071428571,W
45,80.67776457,1.214708917,85,13,0.867346939,0.132653061,W
45,89.4470868,0.514270522,40,6,0.869565217,0.130434783,W
50,46.8489893,2.28393401,66,41,0.61682243,0.38317757,W
50,154.7265161,1.925978866,98,200,0.32885906,0.67114094,W
50,89.00118906,1.078637275,79,17,0.822916667,0.177083333,W
50,58.35315101,0.342740703,12,8,0.6,0.4,W
55,79.16171225,1.945384904,3,151,0.019480519,0.980519481,W
55,28.56718193,1.715254943,9,40,0.183673469,0.816326531,W
55,18.43043995,1.247935484,1,22,0.043478261,0.956521739,W
55,120.5112961,0.771711889,6,87,0.064516129,0.935483871,W
60,96.58145065,2.039729147,5,192,0.025380711,0.974619289,W
60,79.01307967,1.885763732,3,146,0.020134228,0.979865772,W
60,35.85017836,1.422587065,0,51,0,1,W
60,172.7110583,0.35319105,0,61,0,1,W
